county,house_type,est_price,zipcode,lat,lng
San Diego ,1 bedroom,247969,92120,32.794449,-117.07221
San Joaquin ,1 bedroom,85957,95210,38.025086,-121.29722
Ventura ,1 bedroom,362115,93021,34.292898,-118.87134
Los Angeles ,1 bedroom,280155,91356,34.164255,-118.54472
Madera ,1 bedroom,149421,93637,36.914819,-120.15817
Los Angeles ,1 bedroom,348260,91352,34.224089,-118.37563
Santa Clara ,1 bedroom,1052442,94306,37.419389,-122.13273
Solano ,1 bedroom,304297,94510,38.071769,-122.15517
Orange ,1 bedroom,327828,92869,33.792687,-117.79975
San Bernardino ,1 bedroom,88591,92311,34.894181,-117.03636
San Diego ,1 bedroom,424537,92008,33.158137,-117.32646
Sacramento ,1 bedroom,187195,95838,38.641223,-121.4417
Alameda ,1 bedroom,533101,94607,37.806427,-122.28898
Sacramento ,1 bedroom,123440,95842,38.687718,-121.349
Stanislaus ,1 bedroom,132650,95356,37.704138,-121.02187
San Diego ,1 bedroom,279418,92083,33.179587,-117.24461
Los Angeles ,1 bedroom,330983,90221,33.893265,-118.204
Fresno ,1 bedroom,179639,93657,36.72845,-119.53571
Los Angeles ,1 bedroom,519669,90031,34.07871,-118.2161
Los Angeles ,1 bedroom,524554,91007,34.126957,-118.05216
Sacramento ,1 bedroom,460489,95816,38.571661,-121.46827
Placer ,1 bedroom,220739,95677,38.789165,-121.23825
Merced ,1 bedroom,141530,95348,37.342056,-120.50154
Sacramento ,1 bedroom,239747,95660,38.676103,-121.37656
Alameda ,1 bedroom,346914,94555,37.571581,-122.0509
San Francisco ,1 bedroom,827706,94134,37.719581,-122.41085
Orange ,1 bedroom,424563,92694,33.570763,-117.63463
Riverside ,1 bedroom,116484,92586,33.70602,-117.1974
Contra Costa ,1 bedroom,686229,94530,37.917774,-122.30426
Contra Costa ,1 bedroom,853007,94549,37.895695,-122.11785
Los Angeles ,1 bedroom,383122,90023,34.023039,-118.20231
Placer ,1 bedroom,305526,95603,38.909605,-121.07971
San Mateo ,1 bedroom,639555,94002,37.516687,-122.29026
Riverside ,1 bedroom,278888,92595,33.614385,-117.2608
Orange ,1 bedroom,453080,90621,33.875714,-117.99404
Los Angeles ,1 bedroom,444054,91106,34.142557,-118.12715
Santa Clara ,1 bedroom,526614,95118,37.257643,-121.89072
San Diego ,1 bedroom,319962,92124,32.822815,-117.09844
Contra Costa ,1 bedroom,648448,94596,37.905924,-122.05858
San Joaquin ,1 bedroom,165516,95205,37.962873,-121.26401
Kern ,1 bedroom,135746,93215,35.774967,-119.23371
Orange ,1 bedroom,296033,92843,33.763033,-117.9355
Sonoma ,1 bedroom,658439,95472,38.393314,-122.83666
Los Angeles ,1 bedroom,320557,91722,34.097708,-117.90698
Napa ,1 bedroom,528304,94559,38.291164,-122.28671
Fresno ,1 bedroom,140001,93704,36.794748,-119.80097
Los Angeles ,1 bedroom,224436,91321,34.377782,-118.51489
Orange ,1 bedroom,460341,92602,33.73297,-117.76932
Kern ,1 bedroom,89129,93305,35.387058,-118.98647
Los Angeles ,1 bedroom,335934,90302,33.975263,-118.35558
